,Number
2014-09-02 01:58:00,1208
2014-09-02 02:00:00,1411
2014-09-02 02:02:00,1007
2014-09-02 02:04:00,1310
2014-09-02 02:06:00,602
2014-09-02 02:08:00,1810
2014-09-02 02:10:00,1713
2014-09-02 02:12:00,806
2014-09-02 02:14:00,1007
2014-09-02 02:16:00,1208
2014-09-02 02:18:00,1209
2014-09-02 02:20:00,1309
2014-09-02 02:22:00,1007
2014-09-02 02:24:00,504
2014-09-02 02:26:00,1111
2014-09-02 02:28:00,1109
2014-09-02 02:30:00,703
2014-09-02 02:32:00,1007
2014-09-02 02:34:00,1008
2014-09-02 02:36:00,603
2014-09-02 02:38:00,909
2014-09-02 02:40:00,1008
2014-09-02 02:42:00,1814
2014-09-02 02:44:00,707
2014-09-02 02:46:00,807
2014-09-02 02:48:00,705
2014-09-02 02:50:00,707
2014-09-02 02:52:00,505
2014-09-02 02:54:00,707
2014-09-02 02:56:00,906
2014-09-02 02:58:00,605
2014-09-02 03:00:00,1107
2014-09-02 03:02:00,806
2014-09-02 03:04:00,1109
2014-09-02 03:06:00,605
2014-09-02 03:08:00,904
2014-09-02 03:10:00,1208
2014-09-02 03:12:00,908
2014-09-02 03:14:00,1512
2014-09-02 03:16:00,1209
2014-09-02 03:18:00,1616
2014-09-02 03:20:00,1008
2014-09-02 03:22:00,1411
2014-09-02 03:24:00,1311
2014-09-02 03:26:00,1309
2014-09-02 03:28:00,1512
2014-09-02 03:30:00,1109
2014-09-02 03:32:00,1712
2014-09-02 03:34:00,1817
2014-09-02 03:36:00,1211
2014-09-02 03:38:00,1409
2014-09-02 03:40:00,1109
2014-09-02 03:42:00,1512
2014-09-02 03:44:00,1612
2014-09-02 03:46:00,1914
2014-09-02 03:48:00,1307
2014-09-02 03:50:00,2621
2014-09-02 03:52:00,1613
2014-09-02 03:54:00,1613
2014-09-02 03:56:00,907
2014-09-02 03:58:00,1108
2014-09-02 04:00:00,1713
2014-09-02 04:02:00,2118
2014-09-02 04:04:00,1611
2014-09-02 04:06:00,1307
2014-09-02 04:08:00,2113
2014-09-02 04:10:00,1608
2014-09-02 04:12:00,2412
2014-09-02 04:14:00,1412
2014-09-02 04:16:00,1513
2014-09-02 04:18:00,1812
2014-09-02 04:20:00,2012
2014-09-02 04:22:00,2114
2014-09-02 04:24:00,2320
2014-09-02 04:26:00,1916
2014-09-02 04:28:00,1714
2014-09-02 04:30:00,908
2014-09-02 04:32:00,1913
2014-09-02 04:34:00,1812
2014-09-02 04:36:00,2317
2014-09-02 04:38:00,2920
2014-09-02 04:40:00,1912
2014-09-02 04:42:00,2521
2014-09-02 04:44:00,2519
2014-09-02 04:46:00,2417
2014-09-02 04:48:00,1811
2014-09-02 04:50:00,1712
2014-09-02 04:52:00,1708
2014-09-02 04:54:00,1812
2014-09-02 04:56:00,3121
2014-09-02 04:58:00,2113
2014-09-02 05:00:00,3123
2014-09-02 05:02:00,3419
2014-09-02 05:04:00,3118
2014-09-02 05:06:00,2616
2014-09-02 05:08:00,2618
